record_id,stratum,jaccard_at_10,overlap_n,pred_comparables,ref_comparables
Andrew McCutchen__2024_2025,weakness_up,1.0,10,"['Andrew McCutchen (2022)', 'Carlos Santana (2021)', 'Gleyber Torres (2024)', 'Hunter Renfroe (2024)', 'JJ Bleday (2024)', 'Jacob Stallings (2024)', 'Jed Lowrie (2021)', 'Jonah Bride (2024)', 'Rowdy Tellez (2023)', 'Wilmer Flores (2022)']","['Andrew McCutchen (2022)', 'Carlos Santana (2021)', 'Gleyber Torres (2024)', 'Hunter Renfroe (2024)', 'JJ Bleday (2024)', 'Jacob Stallings (2024)', 'Jed Lowrie (2021)', 'Jonah Bride (2024)', 'Rowdy Tellez (2023)', 'Wilmer Flores (2022)']"
Andrew Vaughn__2024_2025,weakness_up,1.0,10,"['Andrew Benintendi (2021)', 'Brandon Drury (2022)', 'Eduardo Escobar (2021)', 'Eric Hosmer (2021)', 'Garrett Cooper (2022)', 'Gio Urshela (2022)', 'J.T. Realmuto (2024)', 'Jesus Aguilar (2021)', 'Josh Naylor (2022)', 'Josh Naylor (2024)']","['Andrew Benintendi (2021)', 'Brandon Drury (2022)', 'Eduardo Escobar (2021)', 'Eric Hosmer (2021)', 'Garrett Cooper (2022)', 'Gio Urshela (2022)', 'J.T. Realmuto (2024)', 'Jesus Aguilar (2021)', 'Josh Naylor (2022)', 'Josh Naylor (2024)']"
Andy Pages__2024_2025,weakness_up,1.0,10,"['Aledmys Diaz (2021)', 'Andy Ibanez (2023)', 'Freddy Fermin (2023)', 'Harrison Bader (2024)', 'Joey Wendle (2021)', 'Kyle Farmer (2021)', 'Luis Garcia Jr. (2024)', 'Michael Harris II (2024)', ""Travis d'Arnaud (2022)"", 'Yan Gomes (2021)']","['Aledmys Diaz (2021)', 'Andy Ibanez (2023)', 'Freddy Fermin (2023)', 'Harrison Bader (2024)', 'Joey Wendle (2021)', 'Kyle Farmer (2021)', 'Luis Garcia Jr. (2024)', 'Michael Harris II (2024)', ""Travis d'Arnaud (2022)"", 'Yan Gomes (2021)']"
Anthony Santander__2024_2025,weakness_up,1.0,10,"['Brandon Drury (2024)', 'Brett Baty (2023)', 'Brian Anderson (2023)', 'Daniel Schneemann (2024)', 'Henry Davis (2023)', 'Mike Moustakas (2021)', 'Spencer Torkelson (2024)', 'Travis Shaw (2021)', 'Trey Mancini (2023)', 'Yoshi Tsutsugo (2021)']","['Brandon Drury (2024)', 'Brett Baty (2023)', 'Brian Anderson (2023)', 'Daniel Schneemann (2024)', 'Henry Davis (2023)', 'Mike Moustakas (2021)', 'Spencer Torkelson (2024)', 'Travis Shaw (2021)', 'Trey Mancini (2023)', 'Yoshi Tsutsugo (2021)']"
Anthony Volpe__2024_2025,weakness_up,1.0,10,"['Addison Barger (2024)', 'Brandon Lowe (2022)', 'Brian Anderson (2022)', 'Jarred Kelenic (2021)', 'Jarred Kelenic (2023)', 'Jonathan Villar (2021)', 'Mike Yastrzemski (2024)', 'Mitch Haniger (2023)', 'Ramon Laureano (2022)', 'Rodolfo Castro (2022)']","['Addison Barger (2024)', 'Brandon Lowe (2022)', 'Brian Anderson (2022)', 'Jarred Kelenic (2021)', 'Jarred Kelenic (2023)', 'Jonathan Villar (2021)', 'Mike Yastrzemski (2024)', 'Mitch Haniger (2023)', 'Ramon Laureano (2022)', 'Rodolfo Castro (2022)']"
Austin Hays__2024_2025,weakness_up,1.0,10,"['Jarred Kelenic (2024)', 'Jarren Duran (2022)', 'Jonathan Villar (2021)', 'Josh Lowe (2024)', 'Kevin Kiermaier (2022)', 'Liover Peguero (2023)', 'Tyler Fitzgerald (2024)', 'Tyrone Taylor (2022)', 'Yu Chang (2021)', 'Zach Neto (2024)']","['Jarred Kelenic (2024)', 'Jarren Duran (2022)', 'Jonathan Villar (2021)', 'Josh Lowe (2024)', 'Kevin Kiermaier (2022)', 'Liover Peguero (2023)', 'Tyler Fitzgerald (2024)', 'Tyrone Taylor (2022)', 'Yu Chang (2021)', 'Zach Neto (2024)']"
Austin Riley__2024_2025,weakness_up,1.0,10,"['Christian Encarnacion-Strand (2023)', 'Eloy Jimenez (2021)', 'Gleyber Torres (2022)', 'Jesus Sanchez (2021)', 'Jesus Sanchez (2023)', 'Kyle Higashioka (2024)', 'Royce Lewis (2024)', 'Ryan Zimmerman (2021)', ""Travis d'Arnaud (2024)"", 'Yoan Moncada (2023)']","['Christian Encarnacion-Strand (2023)', 'Eloy Jimenez (2021)', 'Gleyber Torres (2022)', 'Jesus Sanchez (2021)', 'Jesus Sanchez (2023)', 'Kyle Higashioka (2024)', 'Royce Lewis (2024)', 'Ryan Zimmerman (2021)', ""Travis d'Arnaud (2024)"", 'Yoan Moncada (2023)']"
Austin Wells__2024_2025,weakness_up,1.0,10,"['Cal Raleigh (2023)', 'Chas McCormick (2021)', 'Jake Rogers (2023)', 'Kyle Higashioka (2022)', 'Max Stassi (2021)', 'Rougned Odor (2021)', 'Ryan McMahon (2021)', 'Willy Adames (2022)', 'Willy Adames (2023)', 'Wilyer Abreu (2024)']","['Cal Raleigh (2023)', 'Chas McCormick (2021)', 'Jake Rogers (2023)', 'Kyle Higashioka (2022)', 'Max Stassi (2021)', 'Rougned Odor (2021)', 'Ryan McMahon (2021)', 'Willy Adames (2022)', 'Willy Adames (2023)', 'Wilyer Abreu (2024)']"
Bo Bichette__2024_2025,weakness_up,1.0,10,"['Alec Bohm (2022)', 'Alec Bohm (2023)', 'Alec Burleson (2023)', 'Alec Burleson (2024)', 'Christian Arroyo (2022)', 'Frank Schwindel (2021)', 'Nathaniel Lowe (2022)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)']","['Alec Bohm (2022)', 'Alec Bohm (2023)', 'Alec Burleson (2023)', 'Alec Burleson (2024)', 'Christian Arroyo (2022)', 'Frank Schwindel (2021)', 'Nathaniel Lowe (2022)', 'Ty France (2021)', 'Ty France (2022)', 'Vinnie Pasquantino (2024)']"
Bo Naylor__2024_2025,decliner,1.0,10,"['Chas McCormick (2022)', 'Daniel Schneemann (2024)', 'Danny Jansen (2023)', 'David Bote (2021)', 'Dominic Smith (2024)', 'Francisco Alvarez (2024)', 'Ryan Jeffers (2022)', 'Sean Murphy (2024)', 'Wil Myers (2021)', 'Yoan Moncada (2022)']","['Chas McCormick (2022)', 'Daniel Schneemann (2024)', 'Danny Jansen (2023)', 'David Bote (2021)', 'Dominic Smith (2024)', 'Francisco Alvarez (2024)', 'Ryan Jeffers (2022)', 'Sean Murphy (2024)', 'Wil Myers (2021)', 'Yoan Moncada (2022)']"
Bobby Witt Jr.__2024_2025,elite,1.0,10,"['Bobby Witt Jr. (2023)', 'Bobby Witt Jr. (2024)', 'Dansby Swanson (2022)', 'Fernando Tatis Jr. (2023)', 'Francisco Lindor (2024)', 'J.T. Realmuto (2021)', 'J.T. Realmuto (2022)', 'Jarren Duran (2024)', 'Kyle Tucker (2022)', 'Matt Chapman (2024)']","['Bobby Witt Jr. (2023)', 'Bobby Witt Jr. (2024)', 'Dansby Swanson (2022)', 'Fernando Tatis Jr. (2023)', 'Francisco Lindor (2024)', 'J.T. Realmuto (2021)', 'J.T. Realmuto (2022)', 'Jarren Duran (2024)', 'Kyle Tucker (2022)', 'Matt Chapman (2024)']"
Brandon Lowe__2024_2025,weakness_up,1.0,10,"['Adolis Garcia (2024)', 'Jake Burger (2024)', 'MJ Melendez (2024)', 'Marcell Ozuna (2022)', 'Mitch Haniger (2021)', 'Nick Castellanos (2023)', 'Nolan Gorman (2022)', 'Ryan Mountcastle (2021)', 'Seth Brown (2023)', 'Shea Langeliers (2024)']","['Adolis Garcia (2024)', 'Jake Burger (2024)', 'MJ Melendez (2024)', 'Marcell Ozuna (2022)', 'Mitch Haniger (2021)', 'Nick Castellanos (2023)', 'Nolan Gorman (2022)', 'Ryan Mountcastle (2021)', 'Seth Brown (2023)', 'Shea Langeliers (2024)']"
Brandon Marsh__2024_2025,baseline,1.0,10,"['George Springer (2023)', 'Ian Happ (2022)', 'Jeimer Candelario (2023)', 'LaMonte Wade Jr. (2021)', 'Lane Thomas (2023)', 'Leody Taveras (2023)', 'Matt McLain (2023)', 'Matt Vierling (2022)', 'Matt Vierling (2024)', 'Riley Greene (2023)']","['George Springer (2023)', 'Ian Happ (2022)', 'Jeimer Candelario (2023)', 'LaMonte Wade Jr. (2021)', 'Lane Thomas (2023)', 'Leody Taveras (2023)', 'Matt McLain (2023)', 'Matt Vierling (2022)', 'Matt Vierling (2024)', 'Riley Greene (2023)']"
Brandon Nimmo__2024_2025,weakness_up,1.0,10,"['Bryan Reynolds (2023)', 'Chas McCormick (2023)', 'Corey Seager (2022)', 'Ian Happ (2022)', 'Jeimer Candelario (2023)', 'LaMonte Wade Jr. (2021)', 'Matt McLain (2023)', 'Riley Greene (2023)', 'Royce Lewis (2023)', 'Willy Adames (2024)']","['Bryan Reynolds (2023)', 'Chas McCormick (2023)', 'Corey Seager (2022)', 'Ian Happ (2022)', 'Jeimer Candelario (2023)', 'LaMonte Wade Jr. (2021)', 'Matt McLain (2023)', 'Riley Greene (2023)', 'Royce Lewis (2023)', 'Willy Adames (2024)']"
Brayan Rocchio__2024_2025,weakness_up,1.0,10,"['Abraham Toro (2022)', 'Aledmys Diaz (2023)', 'Corey Dickerson (2021)', 'Freddy Galvis (2021)', 'Jean Segura (2023)', 'Joey Meneses (2024)', 'Kyle Farmer (2023)', 'Manuel Margot (2023)', 'Nick Solak (2021)', 'Owen Miller (2021)']","['Abraham Toro (2022)', 'Aledmys Diaz (2023)', 'Corey Dickerson (2021)', 'Freddy Galvis (2021)', 'Jean Segura (2023)', 'Joey Meneses (2024)', 'Kyle Farmer (2023)', 'Manuel Margot (2023)', 'Nick Solak (2021)', 'Owen Miller (2021)']"
Brendan Donovan__2024_2025,decliner,1.0,10,"['Alex Verdugo (2022)', 'Alex Verdugo (2023)', 'Andrew Benintendi (2022)', 'Brendan Donovan (2024)', 'DJ LeMahieu (2021)', 'Jake Cronenworth (2021)', 'Justin Turner (2021)', 'Tommy La Stella (2021)', 'Willie Calhoun (2024)', 'Yuli Gurriel (2021)']","['Alex Verdugo (2022)', 'Alex Verdugo (2023)', 'Andrew Benintendi (2022)', 'Brendan Donovan (2024)', 'DJ LeMahieu (2021)', 'Jake Cronenworth (2021)', 'Justin Turner (2021)', 'Tommy La Stella (2021)', 'Willie Calhoun (2024)', 'Yuli Gurriel (2021)']"
Brent Rooker__2024_2025,weakness_up,1.0,10,"['Anthony Santander (2023)', 'Bryan De La Cruz (2022)', 'Bryan Reynolds (2022)', 'Chad Pinder (2021)', 'Heliot Ramos (2024)', 'Luis Torrens (2021)', 'Randy Arozarena (2022)', 'Ryan Jeffers (2023)', 'Seth Brown (2022)', 'Spencer Torkelson (2023)']","['Anthony Santander (2023)', 'Bryan De La Cruz (2022)', 'Bryan Reynolds (2022)', 'Chad Pinder (2021)', 'Heliot Ramos (2024)', 'Luis Torrens (2021)', 'Randy Arozarena (2022)', 'Ryan Jeffers (2023)', 'Seth Brown (2022)', 'Spencer Torkelson (2023)']"
Brenton Doyle__2024_2025,baseline,1.0,10,"['Brandon Marsh (2022)', 'Dansby Swanson (2021)', 'Daulton Varsho (2023)', 'Drew Waters (2023)', 'Jake Meyers (2024)', 'Kevin Kiermaier (2022)', 'Kyle Isbel (2022)', 'Trevor Story (2022)', 'Tyrone Taylor (2022)', 'Yu Chang (2021)']","['Brandon Marsh (2022)', 'Dansby Swanson (2021)', 'Daulton Varsho (2023)', 'Drew Waters (2023)', 'Jake Meyers (2024)', 'Kevin Kiermaier (2022)', 'Kyle Isbel (2022)', 'Trevor Story (2022)', 'Tyrone Taylor (2022)', 'Yu Chang (2021)']"
Brice Turang__2024_2025,weakness_up,1.0,10,"['Brandon Nimmo (2022)', 'Carlos Santana (2023)', 'David Peralta (2021)', 'George Springer (2023)', 'Ivan Herrera (2024)', 'Jose Altuve (2023)', 'Ketel Marte (2022)', 'LaMonte Wade Jr. (2021)', 'Matt Vierling (2024)', 'Xander Bogaerts (2021)']","['Brandon Nimmo (2022)', 'Carlos Santana (2023)', 'David Peralta (2021)', 'George Springer (2023)', 'Ivan Herrera (2024)', 'Jose Altuve (2023)', 'Ketel Marte (2022)', 'LaMonte Wade Jr. (2021)', 'Matt Vierling (2024)', 'Xander Bogaerts (2021)']"
Bryan Reynolds__2024_2025,weakness_up,1.0,10,"['Enmanuel Valdez (2024)', 'Joc Pederson (2021)', 'Joey Bart (2024)', 'Jorge Polanco (2023)', 'Luis Torrens (2021)', 'MJ Melendez (2024)', 'Nelson Cruz (2022)', 'Randy Arozarena (2022)', 'Ryan Jeffers (2024)', 'Willy Adames (2021)']","['Enmanuel Valdez (2024)', 'Joc Pederson (2021)', 'Joey Bart (2024)', 'Jorge Polanco (2023)', 'Luis Torrens (2021)', 'MJ Melendez (2024)', 'Nelson Cruz (2022)', 'Randy Arozarena (2022)', 'Ryan Jeffers (2024)', 'Willy Adames (2021)']"
Bryce Harper__2024_2025,weakness_up,1.0,10,"['Austin Riley (2024)', 'Bryce Harper (2022)', 'C.J. Cron (2022)', 'Chad Pinder (2021)', 'George Springer (2021)', 'Heliot Ramos (2024)', 'Jesus Sanchez (2023)', 'Paul Goldschmidt (2024)', 'Royce Lewis (2023)', 'Willson Contreras (2022)']","['Austin Riley (2024)', 'Bryce Harper (2022)', 'C.J. Cron (2022)', 'Chad Pinder (2021)', 'George Springer (2021)', 'Heliot Ramos (2024)', 'Jesus Sanchez (2023)', 'Paul Goldschmidt (2024)', 'Royce Lewis (2023)', 'Willson Contreras (2022)']"
Bryson Stott__2024_2025,weakness_up,1.0,10,"['Gavin Lux (2022)', 'Geraldo Perdomo (2024)', 'Ha-seong Kim (2022)', 'Ha-seong Kim (2023)', 'Ha-seong Kim (2024)', 'Jake Cronenworth (2022)', 'Jon Berti (2023)', 'Lorenzo Cain (2021)', 'Sal Frelick (2023)', 'Xander Bogaerts (2023)']","['Gavin Lux (2022)', 'Geraldo Perdomo (2024)', 'Ha-seong Kim (2022)', 'Ha-seong Kim (2023)', 'Ha-seong Kim (2024)', 'Jake Cronenworth (2022)', 'Jon Berti (2023)', 'Lorenzo Cain (2021)', 'Sal Frelick (2023)', 'Xander Bogaerts (2023)']"
Byron Buxton__2024_2025,weakness_up,1.0,10,"['Adolis Garcia (2022)', 'Elly De La Cruz (2023)', 'Fernando Tatis Jr. (2021)', 'Gunnar Henderson (2023)', 'Jazz Chisholm Jr. (2022)', 'Julio Rodriguez (2022)', 'Julio Rodriguez (2023)', 'Michael Harris II (2022)', 'Oneil Cruz (2024)', ""Tyler O'Neill (2021)""]","['Adolis Garcia (2022)', 'Elly De La Cruz (2023)', 'Fernando Tatis Jr. (2021)', 'Gunnar Henderson (2023)', 'Jazz Chisholm Jr. (2022)', 'Julio Rodriguez (2022)', 'Julio Rodriguez (2023)', 'Michael Harris II (2022)', 'Oneil Cruz (2024)', ""Tyler O'Neill (2021)""]"
CJ Abrams__2024_2025,weakness_up,1.0,10,"['Alek Thomas (2023)', 'Amed Rosario (2021)', 'Bobby Witt Jr. (2022)', 'CJ Abrams (2023)', 'Jake McCarthy (2022)', 'Jarren Duran (2023)', 'Josh Lowe (2023)', 'Ozzie Albies (2021)', 'Starling Marte (2024)', 'Trea Turner (2023)']","['Alek Thomas (2023)', 'Amed Rosario (2021)', 'Bobby Witt Jr. (2022)', 'CJ Abrams (2023)', 'Jake McCarthy (2022)', 'Jarren Duran (2023)', 'Josh Lowe (2023)', 'Ozzie Albies (2021)', 'Starling Marte (2024)', 'Trea Turner (2023)']"
Cal Raleigh__2024_2025,weakness_up,1.0,10,"['Adolis Garcia (2023)', 'Cal Raleigh (2022)', 'Cal Raleigh (2024)', 'Christian Walker (2024)', 'Colton Cowser (2024)', 'Francisco Alvarez (2023)', 'Jake Rogers (2023)', 'Mike Zunino (2021)', 'Sean Murphy (2023)', 'Wilyer Abreu (2024)']","['Adolis Garcia (2023)', 'Cal Raleigh (2022)', 'Cal Raleigh (2024)', 'Christian Walker (2024)', 'Colton Cowser (2024)', 'Francisco Alvarez (2023)', 'Jake Rogers (2023)', 'Mike Zunino (2021)', 'Sean Murphy (2023)', 'Wilyer Abreu (2024)']"
Carlos Correa__2024_2025,elite,1.0,10,"['Eric Hosmer (2022)', 'Gio Urshela (2022)', 'Isaac Paredes (2023)', 'Jason Heyward (2023)', 'Justin Turner (2022)', 'Lourdes Gurriel Jr. (2022)', 'Nolan Arenado (2023)', 'Starlin Castro (2021)', 'Victor Caratini (2023)', 'Wilmer Flores (2021)']","['Eric Hosmer (2022)', 'Gio Urshela (2022)', 'Isaac Paredes (2023)', 'Jason Heyward (2023)', 'Justin Turner (2022)', 'Lourdes Gurriel Jr. (2022)', 'Nolan Arenado (2023)', 'Starlin Castro (2021)', 'Victor Caratini (2023)', 'Wilmer Flores (2021)']"
Carlos Santana__2024_2025,weakness_up,1.0,10,"['Austin Barnes (2021)', 'Billy McKinney (2021)', 'Carson Kelly (2022)', 'Connor Joe (2024)', 'Enrique Hernandez (2022)', 'Jake Bauers (2021)', 'Jared Triolo (2023)', 'Jared Triolo (2024)', 'Josh Rojas (2024)', 'Matt Reynolds (2022)']","['Austin Barnes (2021)', 'Billy McKinney (2021)', 'Carson Kelly (2022)', 'Connor Joe (2024)', 'Enrique Hernandez (2022)', 'Jake Bauers (2021)', 'Jared Triolo (2023)', 'Jared Triolo (2024)', 'Josh Rojas (2024)', 'Matt Reynolds (2022)']"
Carson Kelly__2024_2025,weakness_up,1.0,10,"['Carson Kelly (2021)', 'Connor Joe (2023)', 'Jason Heyward (2023)', 'Luis Urias (2022)', 'Nathaniel Lowe (2024)', 'Taylor Ward (2023)', 'Taylor Ward (2024)', 'Victor Caratini (2023)', 'Yasmani Grandal (2024)', 'Yoan Moncada (2021)']","['Carson Kelly (2021)', 'Connor Joe (2023)', 'Jason Heyward (2023)', 'Luis Urias (2022)', 'Nathaniel Lowe (2024)', 'Taylor Ward (2023)', 'Taylor Ward (2024)', 'Victor Caratini (2023)', 'Yasmani Grandal (2024)', 'Yoan Moncada (2021)']"
Ceddanne Rafaela__2024_2025,weakness_up,1.0,10,"['Andres Gimenez (2022)', 'Andres Gimenez (2023)', 'Andres Gimenez (2024)', 'Ezequiel Tovar (2023)', 'Javier Baez (2023)', 'Jeremy Pena (2022)', 'Jonathan Schoop (2022)', 'Michael A. Taylor (2021)', 'Pete Crow-Armstrong (2024)', 'Thairo Estrada (2023)']","['Andres Gimenez (2022)', 'Andres Gimenez (2023)', 'Andres Gimenez (2024)', 'Ezequiel Tovar (2023)', 'Javier Baez (2023)', 'Jeremy Pena (2022)', 'Jonathan Schoop (2022)', 'Michael A. Taylor (2021)', 'Pete Crow-Armstrong (2024)', 'Thairo Estrada (2023)']"
